Sector,Utilities,Telecom_Services,Industrials,Consumer_Discret,Consumer_Staple,Energy,Real Estate,Financials,Health_Care,Materials,Info_Technology,Change,Cash Rate Target
Utilities,1.0,0.4087264143331135,0.6008683012902373,0.5593557533486532,0.579787275569714,0.36693460149285895,0.5624631710933682,0.6478135546331296,0.43751482063129865,0.418594435958497,0.35294912589938315,-0.3845121723196561,0.038897961951017954
Telecom_Services,0.4087264143331135,1.0,0.22906345172858014,0.26196667666919227,0.3444493094255651,0.15948946985927948,0.34211983593159245,0.3491258359303239,0.3901070464375755,0.28187698632726743,0.13662170250136,-0.11344877380964434,-0.08590836811344855
Industrials,0.6008683012902373,0.22906345172858014,1.0,0.8586430717582417,0.5881962904236521,0.5213227631955083,0.7668797621914669,0.8046879163757902,0.5140192476292126,0.5701308369683225,0.586725288178745,-0.6030300636253595,0.2848539997550716
Consumer_Discret,0.5593557533486532,0.26196667666919227,0.8586430717582417,1.0,0.6790573885176981,0.5157246758157359,0.7505953083372561,0.8388095805870021,0.5177862134345769,0.5567441135111914,0.6350535652030546,-0.668449072954169,0.18965734148886523
Consumer_Staple,0.579787275569714,0.3444493094255651,0.5881962904236521,0.6790573885176981,1.0,0.4857983783195451,0.5438749891015618,0.6557733982900418,0.5077642151696018,0.5117425000641066,0.45761239844888074,-0.4610663592061148,0.07384437008887164
Energy,0.36693460149285895,0.15948946985927948,0.5213227631955083,0.5157246758157359,0.4857983783195451,1.0,0.370056179387477,0.5204240850728536,0.2905002184695875,0.7852186488934096,0.5658558570868781,-0.6770550525166523,0.1392894036456875
Real Estate,0.5624631710933682,0.34211983593159245,0.7668797621914669,0.7505953083372561,0.5438749891015618,0.370056179387477,1.0,0.7833928242388146,0.5088403808424177,0.41266699531544304,0.45980169263188936,-0.630200354416373,0.28230754990105894
Financials,0.6478135546331296,0.3491258359303239,0.8046879163757902,0.8388095805870021,0.6557733982900418,0.5204240850728536,0.7833928242388146,1.0,0.5755144700036853,0.521532884821495,0.6353983611723211,-0.4656260000053503,0.13859698125252243
Health_Care,0.43751482063129865,0.3901070464375755,0.5140192476292126,0.5177862134345769,0.5077642151696018,0.2905002184695875,0.5088403808424177,0.5755144700036853,1.0,0.33636604210434057,0.4089772948619069,-0.32674175885095225,-0.007885605303185887
Materials,0.418594435958497,0.28187698632726743,0.5701308369683225,0.5567441135111914,0.5117425000641066,0.7852186488934096,0.41266699531544304,0.521532884821495,0.33636604210434057,1.0,0.5102911506620303,-0.6050884276110509,0.11906478249526788
Info_Technology,0.35294912589938315,0.13662170250136,0.586725288178745,0.6350535652030546,0.45761239844888074,0.5658558570868781,0.45980169263188936,0.6353983611723211,0.4089772948619069,0.5102911506620303,1.0,-0.49278244177658725,0.12451988229816392
Change,-0.3845121723196561,-0.11344877380964434,-0.6030300636253595,-0.668449072954169,-0.4610663592061148,-0.6770550525166523,-0.630200354416373,-0.4656260000053503,-0.32674175885095225,-0.6050884276110509,-0.49278244177658725,1.0,-0.4192830716890855
Cash Rate Target,0.038897961951017954,-0.08590836811344855,0.2848539997550716,0.18965734148886523,0.07384437008887164,0.1392894036456875,0.28230754990105894,0.13859698125252243,-0.007885605303185887,0.11906478249526788,0.12451988229816392,-0.4192830716890855,1.0
